#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=5
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6535
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.1454e-06;0.000857888;-5.89704e-06
-4.1445e-06;0.000894973;-5.89606e-06
-4.14351e-06;0.000698967;-5.89508e-06
-4.14247e-06;0.000684215;-5.89411e-06
-4.14111e-06;0.000670357;-5.89313e-06
-4.14044e-06;0.000680843;-5.89215e-06
-4.1395e-06;0.000888547;-5.89118e-06
-4.13845e-06;0.000724131;-5.8902e-06
-4.13751e-06;0.000925371;-5.88922e-06
-4.13662e-06;0.000822647;-5.88825e-06
-4.1358e-06;0.000690473;-5.88727e-06
-4.13513e-06;0.000709118;-5.88629e-06
-4.13399e-06;0.000678794;-5.88532e-06
-4.13304e-06;0.000676205;-5.88434e-06
-4.13217e-06;0.000913898;-5.88336e-06
-4.13138e-06;0.000908421;-5.88239e-06
-4.1304e-06;0.000919411;-5.88141e-06
-4.12938e-06;0.000893893;-5.88043e-06
-4.12842e-06;0.0008146;-5.87946e-06
-4.12761e-06;0.000844439;-5.87848e-06
-4.12686e-06;0.000789547;-5.8775e-06
-4.12586e-06;0.000878265;-5.87653e-06
-4.12491e-06;0.000878843;-5.87555e-06
-4.12391e-06;0.000744304;-5.87457e-06
-4.12287e-06;0.000785692;-5.8736e-06
-4.1216e-06;0.000672964;-5.87262e-06
-4.12075e-06;0.000804486;-5.87164e-06
-4.11978e-06;0.000785114;-5.87067e-06
-4.11876e-06;0.000952901;-5.86969e-06
-4.118e-06;0.000716588;-5.86871e-06
-4.11712e-06;0.00069405;-5.86774e-06
-4.11643e-06;0.000864966;-5.86676e-06
-4.11547e-06;0.000741957;-5.86578e-06
-4.11448e-06;0.000737691;-5.86481e-06
-4.1135e-06;0.000970727;-5.86383e-06
-4.11251e-06;0.000855466;-5.86285e-06
-4.11147e-06;0.00077243;-5.86188e-06
