#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=3
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6457
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.18609e-06;0.000490909;-5.93417e-06
-4.18539e-06;0.000609746;-5.93319e-06
-4.18435e-06;0.000568302;-5.93221e-06
-4.1833e-06;0.000683675;-5.93124e-06
-4.18225e-06;0.00060956;-5.93026e-06
-4.1814e-06;0.00065566;-5.92928e-06
-4.18078e-06;0.00062895;-5.92831e-06
-4.17914e-06;0.000715731;-5.92733e-06
-4.17846e-06;0.000675758;-5.92635e-06
-4.17732e-06;0.000679856;-5.92538e-06
-4.17651e-06;0.000682017;-5.9244e-06
-4.17573e-06;0.000853101;-5.92342e-06
-4.17462e-06;0.00064618;-5.92245e-06
-4.17392e-06;0.000813855;-5.92147e-06
-4.17305e-06;0.00069798;-5.92049e-06
-4.17192e-06;0.000782674;-5.91952e-06
-4.17081e-06;0.000862395;-5.91854e-06
-4.17006e-06;0.000833655;-5.91756e-06
-4.16913e-06;0.000746036;-5.91659e-06
-4.16837e-06;0.000815494;-5.91561e-06
-4.16701e-06;0.000744844;-5.91463e-06
-4.16613e-06;0.000747656;-5.91366e-06
-4.16556e-06;0.00077839;-5.91268e-06
-4.16449e-06;0.000840919;-5.9117e-06
-4.16348e-06;0.000729999;-5.91073e-06
-4.16254e-06;0.000629378;-5.90975e-06
-4.16165e-06;0.000692466;-5.90877e-06
-4.16078e-06;0.000843992;-5.9078e-06
-4.15987e-06;0.000879811;-5.90682e-06
-4.15857e-06;0.000823298;-5.90584e-06
-4.15801e-06;0.000776788;-5.90487e-06
-4.15715e-06;0.00103784;-5.90389e-06
-4.15635e-06;0.000980375;-5.90291e-06
-4.15509e-06;0.000897003;-5.90194e-06
-4.15435e-06;0.000785207;-5.90096e-06
-4.15314e-06;0.0010994;-5.89998e-06
-4.15227e-06;0.000969255;-5.89901e-06
-4.15141e-06;0.000916095;-5.89803e-06
-4.15051e-06;0.000844439;-5.89705e-06
-4.14959e-06;0.00100243;-5.89608e-06
-4.14862e-06;0.000995928;-5.8951e-06
-4.14778e-06;0.000862004;-5.89412e-06
-4.14689e-06;0.00100858;-5.89315e-06
-4.14584e-06;0.000936175;-5.89217e-06
-4.14495e-06;0.00095875;-5.89119e-06
-4.14376e-06;0.000831401;-5.89022e-06
-4.14297e-06;0.000921162;-5.88924e-06
-4.14188e-06;0.000708019;-5.88826e-06
-4.14124e-06;0.0007967;-5.88729e-06
-4.14024e-06;0.000801189;-5.88631e-06
-4.13915e-06;0.000821324;-5.88534e-06
-4.13838e-06;0.000941874;-5.88436e-06
-4.13741e-06;0.0010188;-5.88338e-06
-4.13677e-06;0.000949213;-5.88241e-06
-4.13578e-06;0.00103219;-5.88143e-06
-4.13473e-06;0.000931723;-5.88045e-06
-4.13403e-06;0.000995388;-5.87948e-06
-4.13291e-06;0.00107669;-5.8785e-06
-4.13208e-06;0.00100705;-5.87752e-06
-4.13095e-06;0.000978587;-5.87655e-06
-4.13023e-06;0.00109083;-5.87557e-06
-4.12914e-06;0.000982722;-5.87459e-06
-4.12826e-06;0.000978103;-5.87362e-06
-4.12741e-06;0.00101329;-5.87264e-06
-4.12623e-06;0.00108321;-5.87166e-06
-4.12515e-06;0.000903895;-5.87069e-06
-4.12442e-06;0.000989037;-5.86971e-06
-4.12311e-06;0.000964729;-5.86873e-06
-4.12234e-06;0.00108411;-5.86776e-06
-4.12153e-06;0.000985647;-5.86678e-06
-4.12057e-06;0.0010532;-5.8658e-06
-4.11984e-06;0.00126644;-5.86483e-06
-4.11888e-06;0.00105374;-5.86385e-06
-4.11784e-06;0.000974806;-5.86287e-06
-4.11691e-06;0.00115317;-5.8619e-06
-4.11599e-06;0.00103737;-5.86092e-06
-4.11523e-06;0.00108725;-5.85994e-06
-4.11433e-06;0.0010205;-5.85897e-06
-4.11317e-06;0.00106539;-5.85799e-06
-4.11219e-06;0.00128404;-5.85701e-06
-4.11109e-06;0.00121581;-5.85604e-06
-4.11038e-06;0.00103352;-5.85506e-06
-4.10925e-06;0.00109342;-5.85408e-06
-4.10841e-06;0.00104;-5.85311e-06
-4.10781e-06;0.001248;-5.85213e-06
-4.10683e-06;0.00104289;-5.85115e-06
-4.10579e-06;0.00117623;-5.85018e-06
-4.10476e-06;0.0012081;-5.8492e-06
-4.10363e-06;0.00115599;-5.84822e-06
-4.10297e-06;0.00122528;-5.84725e-06
-4.10203e-06;0.000979071;-5.84627e-06
-4.10103e-06;0.00114252;-5.84529e-06
-4.10046e-06;0.00122623;-5.84432e-06
-4.09895e-06;0.00126508;-5.84334e-06
-4.09824e-06;0.00112151;-5.84236e-06
-4.09746e-06;0.00115295;-5.84139e-06
-4.09642e-06;0.0012016;-5.84041e-06
-4.09552e-06;0.00122865;-5.83943e-06
-4.0947e-06;0.00114218;-5.83846e-06
-4.0935e-06;0.00118266;-5.83748e-06
-4.09253e-06;0.00120741;-5.8365e-06
-4.09151e-06;0.00117912;-5.83553e-06
-4.09049e-06;0.00130481;-5.83455e-06
-4.08979e-06;0.00122451;-5.83357e-06
-4.089e-06;0.00113958;-5.8326e-06
-4.08847e-06;0.00132867;-5.83162e-06
-4.08709e-06;0.00138327;-5.83064e-06
-4.08626e-06;0.00128354;-5.82967e-06
-4.08521e-06;0.00135825;-5.82869e-06
