
// =========================================================================================================
// 2024-10-24, 14:45:56
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           1.41000           0.06300           0.00300       -3796.83200          -1.28370           0.00829
           1.42000           0.06300           0.00300       -3796.83200          -0.58244           0.06561
           1.43000           0.06300           0.00200       -3796.83200          -1.02870           0.00829
           1.44000           0.06400           0.00300       -3796.83200          -1.34746           0.05287
           1.45000           0.06400           0.00300       -3796.83200          -0.77369           0.04013
           1.46000           0.06400           0.00300       -3796.83200          -0.32743           0.07834
           1.47000           0.06300           0.00300       -3796.83200          -1.28370           0.00192
           1.48000           0.06300           0.00300       -3796.83200          -1.66621          -0.08087
           1.49000           0.06300           0.00300       -3796.83200          -2.23998          -0.06176
           1.50000           0.06300           0.00300       -3796.83200          -0.90119          -0.04902
           1.51000           0.06300           0.00300       -3796.83200          -0.64619           0.08471
           1.52000           0.06200           0.00200       -3796.83200          -1.02870          -0.02355
           1.53000           0.06400           0.00200       -3796.83100          -0.77369           0.05924
           1.54000           0.06300           0.00200       -3796.83100          -1.28370           0.04013
           1.55000           0.06400           0.00300       -3796.83200          -1.60246          -0.06813
           1.56000           0.06300           0.00300       -3796.83200          -0.13617           0.05924
           1.57000           0.06300           0.00300       -3796.83200          -1.92122          -0.06176
           1.58000           0.06300           0.00300       -3796.83200          -0.58244           0.00829
           1.59000           0.06300           0.00300       -3796.83200          -1.34746           0.00829
           1.60000           0.06300           0.00300       -3796.83200          -1.72997          -0.07450
           1.61000           0.06300           0.00300       -3796.83200          -1.66621           0.01466
           1.62000           0.06300           0.00300       -3796.83100           0.18258           0.04650
           1.63000           0.06300           0.00300       -3796.83100          -1.85747          -0.06813
           1.64000           0.06300           0.00300       -3796.83200          -0.19993           0.06561
           1.65000           0.06300           0.00300       -3796.83200          -1.72997          -0.01718
           1.66000           0.06300           0.00300       -3796.83200          -1.72997          -0.10634
           1.67000           0.06300           0.00300       -3796.83200          -1.72997          -0.08087
           1.68000           0.06300           0.00300       -3796.83200          -0.19993           0.07198
           1.69000           0.06300           0.00300       -3796.83200          -0.96495           0.09108
           1.70000           0.06300           0.00200       -3796.83200          -0.77369          -0.09997
           1.71000           0.06300           0.00200       -3796.83200          -1.85747          -0.09360
           1.72000           0.06400           0.00200       -3796.83200          -0.70994           0.03377
           1.73000           0.06300           0.00200       -3796.83200          -0.51868           0.05924
           1.74000           0.06300           0.00300       -3796.83200          -1.34746          -0.01081
           1.75000           0.06300           0.00300       -3796.83200          -0.64619           0.05287
           1.76000           0.06200           0.00300       -3796.83200          -0.90119           0.07198
           1.77000           0.06300           0.00300       -3796.83200          -2.43123          -0.10634
           1.78000           0.06300           0.00200       -3796.83200          -0.58244           0.08471
           1.79000           0.06300           0.00200       -3796.83200          -1.60246          -0.07450
           1.80000           0.06300           0.00300       -3796.83200          -1.21995           0.02103
           1.81000           0.06300           0.00300       -3796.83100          -1.47496          -0.09360
           1.82000           0.06300           0.00300       -3796.83100          -0.51868           0.05287
           1.83000           0.06300           0.00300       -3796.83100          -0.39118           0.04013
           1.84000           0.06300           0.00300       -3796.83100          -1.66621           0.04013
           1.85000           0.06300           0.00300       -3796.83200          -0.51868           0.05287
           1.86000           0.06300           0.00300       -3796.83200          -0.96495           0.09108
           1.87000           0.06300           0.00300       -3796.83200          -1.72997          -0.06176
           1.88000           0.06300           0.00300       -3796.83200          -1.09245           0.05287
           1.89000           0.06300           0.00300       -3796.83200          -1.28370          -0.08723
           1.90000           0.06300           0.00300       -3796.83200          -0.90119           0.07198
           1.91000           0.06300           0.00300       -3796.83200          -1.41121           0.00829
           1.92000           0.06300           0.00300       -3796.83200          -1.72997           0.00192
           1.93000           0.06300           0.00300       -3796.83300          -1.02870           0.08471
           1.94000           0.06300           0.00300       -3796.83200          -0.77369           0.05287
           1.95000           0.06300           0.00300       -3796.83100          -1.53871          -0.06813
           1.96000           0.06300           0.00300       -3796.83100          -1.72997          -0.03629
